ind_variables,p,SSE,R2,adj_R2,Cp,AIC,BIC,PRESS
LSTAT + CRIM + INDUS + AGE + PTRATIO,5,69.24993285984412,0.7339033983004737,0.7285168274158679,20.844031178156285,-59.7598512492209,-38.55951431685578,12.656360923041643
LSTAT + CRIM + INDUS + AGE + RAD,5,71.17367803827034,0.7118181081273252,0.705984466591441,28.145770209159707,-42.57290589176574,-21.372568959400624,13.63183189641505
LSTAT + CRIM + INDUS + AGE + DIS,5,70.45141360536459,0.7165690585678139,0.7108315901177698,25.404353903301683,-45.37787888862874,-24.177541956263624,13.358886361987507
LSTAT + CRIM + INDUS + AGE + B,5,71.5133118264046,0.7093945805428645,0.7035118797441371,29.43487924235103,-39.47381788032453,-18.273480947959413,13.73499823632038
LSTAT + CRIM + INDUS + AGE + ZN,5,70.54593228156773,0.7122551207442546,0.7064303256176201,25.76310760671879,-40.93637820712263,-19.73604127475751,13.563326835850862
LSTAT + CRIM + INDUS + PTRATIO + RAD,5,68.91833845173264,0.7377663054037509,0.7324579310192114,19.585436298063712,-63.48896612890144,-42.28862919653632,12.471267024226801
LSTAT + CRIM + INDUS + PTRATIO + DIS,5,68.51887099635552,0.7380451571159643,0.7327424275029271,18.06922347359341,-63.29945138138726,-42.09911444902214,12.441819786211116
LSTAT + CRIM + INDUS + PTRATIO + B,5,70.50446712903145,0.7273911135073949,0.7218727149953988,25.6057230809011,-52.629212374915085,-31.428875442549966,12.986188054003742
LSTAT + CRIM + INDUS + PTRATIO + ZN,5,70.67887083645743,0.7253726115296797,0.7198133526537622,26.26768723911971,-50.90388855774597,-29.703551625380854,12.944810685203038
LSTAT + CRIM + INDUS + RAD + DIS,5,70.0330698541074,0.7194231755094656,0.7137434827060134,23.816494486583053,-48.613766172884766,-27.413429240519648,13.306444965545683
LSTAT + CRIM + INDUS + RAD + B,5,72.32706890228808,0.7042914128807473,0.6983054090929082,32.5235636842242,-34.979671853979255,-13.779334921614137,13.925403995013664
LSTAT + CRIM + INDUS + RAD + ZN,5,72.25709951699552,0.7027406747344929,0.6967232794862033,32.25798890992695,-33.3231966738457,-12.122859741480582,13.911029668793779
LSTAT + CRIM + INDUS + DIS + B,5,70.59968788197928,0.7170962520809099,0.7113694555643291,25.967141576530253,-45.43607870718307,-24.235741774817953,13.383898690668794
LSTAT + CRIM + INDUS + DIS + ZN,5,68.82769665298474,0.7326643416547165,0.7272526886517755,19.241397613948948,-58.42630770067444,-37.225970768309324,12.797512183560858
LSTAT + CRIM + INDUS + B + ZN,5,72.90838237421778,0.7011946662930597,0.6951459753273321,34.72998858646082,-30.333569783427208,-9.13323285106209,14.024630064950031
LSTAT + CRIM + TAX + NOX + AGE,5,71.73377095870106,0.7033968574983644,0.697392745301975,30.271650696846393,-33.724304710328624,-12.523967777963506,14.014353040187094
LSTAT + CRIM + TAX + NOX + PTRATIO,5,70.9834929077349,0.7279091424472517,0.7224012303510422,27.423906312464624,-51.43755716422777,-30.23722023186265,12.864480607252418
LSTAT + CRIM + TAX + NOX + RAD,5,71.70686791450815,0.7088881589233933,0.702995206674879,30.169537896232725,-38.64393376799114,-17.443596835626025,13.644243303194258
LSTAT + CRIM + TAX + NOX + DIS,5,71.16989864281574,0.708513950900358,0.7026134235906486,28.13142519111159,-36.67175361514137,-15.471416682776251,13.748679132549414
LSTAT + CRIM + TAX + NOX + B,5,72.99016973803961,0.6984742180941803,0.692370457326856,35.04041950702032,-28.46055364638562,-7.260216714020501,14.308243957798135
LSTAT + CRIM + TAX + NOX + ZN,5,73.06055281246087,0.6990384934534998,0.6929461552642994,35.307564473717036,-28.215314277266316,-7.014977344901197,14.206109240393657
LSTAT + CRIM + TAX + AGE + PTRATIO,5,70.0515940741428,0.729203446966777,0.7237217353669141,23.886804744910535,-54.98067415970229,-33.78033722733717,12.846479876241784
LSTAT + CRIM + TAX + AGE + RAD,5,71.25750013845345,0.7136218123380402,0.7078246830331423,28.46392414525866,-43.934822617385976,-22.734485685020857,13.461291085987698
LSTAT + CRIM + TAX + AGE + DIS,5,71.80456914756299,0.7044887039799417,0.6985066939390498,30.540371265835915,-34.462160164403485,-13.261823232038367,13.94226100661182
LSTAT + CRIM + TAX + AGE + B,5,72.05066884451715,0.7034466101503927,0.6974435050927084,31.47446367210688,-34.057785302245634,-12.857448369880515,14.069142379360699
LSTAT + CRIM + TAX + AGE + ZN,5,71.01995272132382,0.7094361579105872,0.7035542987589797,27.562292647063884,-37.79754639137411,-16.597209459008994,13.723345510702362
LSTAT + CRIM + TAX + PTRATIO + RAD,5,67.8702270321071,0.7420544816679587,0.7368329124709538,15.607239940591342,-67.94324065733815,-46.74290372497303,12.221406924027999
LSTAT + CRIM + TAX + PTRATIO + DIS,5,70.10440269765725,0.7296852515658272,0.7242132930954999,24.08724438307746,-55.10329675205844,-33.90295981969332,12.799188492424989
LSTAT + CRIM + TAX + PTRATIO + B,5,70.52019556145173,0.7278649930898917,0.7223561872819948,25.66542168869364,-53.32170202662684,-32.12136509426172,12.95325907682727
LSTAT + CRIM + TAX + PTRATIO + ZN,5,71.00057190808685,0.7244129799750694,0.7188342953591801,27.48873111612312,-49.886187555283186,-28.685850622918068,12.972825507677738
LSTAT + CRIM + TAX + RAD + DIS,5,71.12560925497888,0.7159614183126308,0.7102116494525625,27.963321039140624,-45.468576594957085,-24.268239662591967,13.325468141255032
LSTAT + CRIM + TAX + RAD + B,5,71.74542602799605,0.7109485764263993,0.7050973330342212,30.315888507204363,-40.457373543417475,-19.257036611052357,13.560977746771265
